,Discount_Percent,Discount_Price
227,-16%,$ 2.099.800
228,-25%,$ 2.949.890
229,-37%,$ 1.567.098
230,-26%,$ 3.659.900
231,-40%,$ 1.491.900
232,-26%,$ 3.921.926
233,-45%,$ 2.198.899
234,-26%,$ 4.786.900
235,-19%,$ 4.269.900
236,-16%,$ 4.619.900
237,-52%,$ 1.215.990
238,-48%,$ 618.900
239,-52%,$ 719.900
240,-26%,$ 2.219.926
241,-20%,$ 829.900
242,-39%,$ 1.380.769
243,-65%,$ 119.900
244,-21%,$ 3.948.889
245,-68%,$ 629.900
246,-42%,$ 399.900
247,-17%,$ 329.900
248,-42%,$ 519.789
249,-26%,$ 3.921.926
250,-37%,$ 2.499.900
251,-41%,$ 999.900
252,-31%,$ 599.799
253,-42%,$ 319.800
254,-25%,$ 3.426.990
255,-54%,$ 1.171.370
256,-68%,$ 629.900
257,-34%,$ 2.408.927
258,-38%,$ 1.089.900
259,-52%,$ 299.900
260,-15%,$ 1.198.415
261,-61%,$ 1.048.044
262,-65%,$ 699.900
263,-46%,$ 1.599.800
264,-23%,$ 729.990
265,-36%,$ 1.969.488
266,-14%,$ 499.900
267,-30%,$ 3.214.900
268,-62%,$ 897.028
269,-17%,$ 496.990
270,-46%,$ 1.599.800
271,-21%,$ 345.900
272,-42%,$ 399.900
273,-40%,$ 1.491.900
274,-66%,$ 499.900
275,-66%,$ 2.999.900
276,-42%,$ 330.542
277,-54%,$ 649.950
278,-20%,$ 4.697.500
279,-25%,$ 2.889.900
280,-68%,$ 699.900
281,-60%,$ 239.990
282,-19%,$ 3.389.899
283,-42%,$ 545.000
284,-60%,$ 599.900
285,-48%,$ 459.900
286,-31%,$ 899.900
287,-23%,$ 4.599.900
288,-22%,$ 4.328.600
289,-22%,$ 4.328.600
290,-25%,$ 3.649.000
291,-33%,$ 669.900
292,-26%,$ 3.879.900
293,-48%,$ 2.049.900
294,-34%,$ 2.299.851
295,-36%,$ 3.799.990
296,-45%,$ 2.198.899
297,-26%,$ 949.900
298,-65%,$ 119.900
299,-46%,$ 697.699
300,-56%,$ 699.900
301,-52%,$ 719.900
302,-17%,$ 1.349.900
303,-57%,$ 699.900
304,-19%,$ 3.849.990
305,-55%,$ 1.388.999
306,-20%,$ 4.697.400
307,-20%,$ 319.489
308,-34%,$ 524.699
309,-38%,$ 1.999.900
310,-45%,$ 64.900
311,-37%,$ 1.309.900
312,-28%,$ 995.330
313,-16%,$ 532.899
314,-15%,$ 779.900
315,-42%,$ 1.007.937
316,-26%,$ 2.219.926
317,-63%,$ 119.900
318,-61%,$ 1.049.888
319,-52%,$ 1.215.990
320,-40%,$ 437.000
321,-25%,$ 1.199.900
322,-23%,$ 689.298
323,-33%,$ 669.900
324,-21%,$ 647.900
325,-48%,$ 2.049.900
326,-35%,$ 3.139.900
327,-42%,$ 319.800
328,-60%,$ 1.380.988
329,-34%,$ 979.900
330,-19%,$ 3.999.890
331,-42%,$ 1.007.937
332,-68%,$ 699.900
333,-63%,$ 879.900
334,-13%,$ 337.900
335,-52%,$ 599.900
336,-43%,$ 628.188
337,-37%,$ 1.319.900
338,-19%,$ 2.176.150
339,-14%,$ 2.899.899
340,-36%,$ 448.431
341,-22%,$ 2.399.900
342,-71%,$ 499.900
343,-40%,$ 909.935
344,-23%,$ 1.847.900
345,-54%,$ 649.950
346,-52%,$ 719.900
347,-31%,$ 684.528
348,-44%,$ 478.530
349,-32%,$ 562.831
350,-19%,$ 4.445.845
351,-34%,$ 329.900
