,Discount_Percent,Discount_Price
991,-33%,$ 2.999.690
992,-38%,$ 2.659.989
993,-31%,$ 1.849.900
994,-41%,$ 2.899.827
995,-32%,$ 2.629.900
996,-33%,$ 2.999.794
997,-33%,$ 2.659.989
998,-40%,$ 2.659.989
999,-33%,$ 2.659.989
1000,-10%,$ 714.900
1001,-36%,$ 3.179.900
1002,-21%,$ 1.798.985
1003,-18%,$ 398.900
1004,-22%,$ 699.899
1005,-50%,$ 749.900
1006,-45%,$ 1.999.900
1007,-31%,$ 1.849.900
1008,-50%,$ 1.849.900
1009,-48%,$ 618.900
1010,-43%,$ 341.640
1011,-55%,$ 617.900
1012,-42%,$ 1.071.720
1013,-19%,$ 369.108
1014,-28%,$ 1.079.999
1015,-44%,$ 2.699.900
1016,-44%,$ 2.699.900
1017,-44%,$ 2.699.900
1018,-44%,$ 2.699.900
1019,-50%,$ 499.900
1020,-43%,$ 1.019.900
1021,-37%,$ 3.249.888
1022,-42%,$ 2.898.982
1023,-42%,$ 1.139.000
1024,-35%,$ 3.199.858
1025,-15%,$ 759.900
1026,-22%,$ 1.001.876
1027,-43%,$ 2.099.990
1028,-40%,$ 1.158.300
1029,-46%,$ 1.599.800
1030,-44%,$ 3.824.989
1031,-36%,$ 959.900
1032,-33%,$ 1.339.900
1033,-23%,$ 3.189.900
1034,-34%,$ 3.289.688
1035,-40%,$ 2.989.786
1036,-31%,$ 2.659.990
1037,-14%,$ 599.898
1038,-22%,$ 1.559.000
1039,-63%,$ 1.070.791
1040,-63%,$ 1.061.908
1041,-20%,$ 399.990
1042,-50%,$ 1.437.983
1043,-45%,$ 1.477.368
1044,-22%,$ 1.946.990
1045,-10%,$ 4.945.900
1046,-29%,$ 2.039.900
1047,-28%,$ 2.999.000
1048,-33%,$ 2.679.000
1049,-26%,$ 2.198.990
1050,-47%,$ 1.690.000
1051,-20%,$ 3.190.900
1052,-15%,$ 3.196.900
1053,-37%,$ 329.000
1054,-19%,$ 4.290.601
1055,-19%,$ 3.879.797
1056,-28%,$ 3.293.990
1057,-32%,$ 3.293.990
1058,-35%,$ 2.397.000
1059,-39%,$ 3.200.000
1060,-26%,$ 3.298.417
1061,-33%,$ 2.988.815
1062,-38%,$ 2.629.720
1063,-18%,$ 2.099.900
1064,-27%,$ 2.449.897
1065,-32%,$ 2.349.791
1066,-31%,$ 1.498.886
1067,-20%,$ 1.969.480
1068,-52%,$ 1.725.900
1069,-52%,$ 1.725.900
1070,-52%,$ 1.725.900
1071,-47%,$ 1.567.099
1072,-47%,$ 1.567.099
1073,-40%,$ 887.000
1074,-26%,$ 2.199.900
1075,-30%,$ 1.939.898
1076,-55%,$ 897.998
1077,-25%,$ 4.089.989
1078,-25%,$ 4.089.989
1079,-32%,$ 3.293.990
1080,-32%,$ 3.293.990
1081,-29%,$ 2.541.990
1082,-29%,$ 2.541.990
1083,-11%,$ 2.999.900
1084,-47%,$ 2.629.700
1085,-46%,$ 2.659.989
1086,-14%,$ 2.099.900
1087,-38%,$ 2.159.500
1088,-38%,$ 2.158.548
1089,-38%,$ 2.159.666
1090,-23%,$ 3.824.989
1091,-38%,$ 3.824.989
1092,-30%,$ 3.824.989
1093,-20%,$ 729.900
1094,-34%,$ 2.629.743
1095,-12%,$ 2.898.900
1096,-49%,$ 828.590
1097,-58%,$ 828.590
1098,-11%,$ 1.940.000
1099,-40%,$ 595.530
1100,-40%,$ 4.199.900
1101,-21%,$ 359.000
1102,-10%,$ 2.339.000
1103,-49%,$ 510.000
1104,-49%,$ 1.289.900
1105,-46%,$ 1.749.900
1106,-46%,$ 1.749.900
1107,-21%,$ 1.638.000
1108,-32%,$ 849.900
1109,-32%,$ 849.900
1110,-63%,$ 699.900
1111,-36%,$ 1.499.900
1112,-20%,$ 759.900
1113,-42%,$ 577.900
1114,-25%,$ 582.660
1115,-30%,$ 1.099.068
1116,-46%,$ 1.599.800
1117,-15%,$ 338.900
1118,-48%,$ 539.000
1119,-33%,$ 999.000
1120,-52%,$ 1.725.900
1121,-20%,$ 3.529.900
1122,-20%,$ 2.459.900
1123,-41%,$ 759.870
1124,-35%,$ 1.939.871
1125,-28%,$ 2.159.382
1126,-67%,$ 2.159.541
1127,-65%,$ 2.285.581
1128,-20%,$ 2.459.900
1129,-75%,$ 729.020
1130,-32%,$ 679.800
1131,-50%,$ 499.690
1132,-27%,$ 2.899.900
1133,-54%,$ 1.398.054
1134,-26%,$ 589.900
1135,-44%,$ 999.800
1136,-42%,$ 1.387.525
1137,-20%,$ 3.289.090
1138,-52%,$ 1.215.990
1139,-22%,$ 699.990
1140,-27%,$ 1.529.900
1141,-20%,$ 2.629.000
1142,-42%,$ 514.900
1143,-22%,$ 699.990
1144,-11%,$ 889.000
1145,-57%,$ 1.145.099
1146,-15%,$ 169.990
1147,-39%,$ 1.393.975
1148,-41%,$ 1.398.740
1149,-46%,$ 1.398.845
1150,-52%,$ 1.215.990
1151,-20%,$ 3.359.900
1152,-54%,$ 1.395.467
1153,-55%,$ 1.388.999
1154,-23%,$ 999.000
1155,-34%,$ 1.369.900
1156,-29%,$ 1.319.990
1157,-30%,$ 1.529.900
1158,-46%,$ 1.599.800
1159,-48%,$ 2.399.900
1160,-33%,$ 1.399.900
1161,-33%,$ 1.399.900
1162,-12%,$ 610.000
1163,-42%,$ 1.723.900
1164,-35%,$ 349.900
1165,-20%,$ 4.099.900
1166,-20%,$ 2.279.900
1167,-40%,$ 2.659.989
1168,-20%,$ 2.629.740
1169,-29%,$ 3.170.770
1170,-31%,$ 1.088.998
1171,-68%,$ 599.900
1172,-12%,$ 3.049.900
1173,-22%,$ 4.879.000
1174,-54%,$ 2.299.000
1175,-54%,$ 2.299.000
1176,-14%,$ 2.899.789
1177,-42%,$ 1.241.841
1178,-20%,$ 1.969.498
1179,-60%,$ 1.899.900
1180,-52%,$ 1.725.900
1181,-60%,$ 1.899.900
1182,-38%,$ 1.969.497
1183,-20%,$ 2.290.900
1184,-20%,$ 4.203.900
1185,-41%,$ 749.103
1186,-30%,$ 1.118.999
1187,-52%,$ 1.215.990
1188,-33%,$ 1.399.900
1189,-39%,$ 1.389.900
1190,-53%,$ 1.399.900
1191,-55%,$ 579.113
1192,-43%,$ 749.103
1193,-42%,$ 1.197.860
1194,-27%,$ 1.370.750
1195,-37%,$ 1.371.050
1196,-13%,$ 510.000
1197,-27%,$ 1.370.527
1198,-23%,$ 1.449.900
1199,-16%,$ 4.999.999
1200,-20%,$ 3.159.900
1201,-52%,$ 1.725.900
1202,-27%,$ 1.299.900
1203,-26%,$ 369.800
1204,-55%,$ 849.900
1205,-37%,$ 299.900
1206,-37%,$ 299.900
1207,-35%,$ 579.999
1208,-37%,$ 398.900
1209,-15%,$ 759.000
1210,-13%,$ 690.000
1211,-57%,$ 799.900
1212,-18%,$ 860.000
1213,-19%,$ 1.698.000
1214,-10%,$ 1.789.900
1215,-33%,$ 1.339.900
1216,-30%,$ 1.329.800
1217,-52%,$ 899.900
1218,-50%,$ 1.567.100
1219,-23%,$ 2.299.900
1220,-27%,$ 2.099.900
1221,-23%,$ 769.800
1222,-39%,$ 3.200.000
1223,-59%,$ 650.990
1224,-30%,$ 1.189.900
1225,-52%,$ 899.900
1226,-11%,$ 1.509.000
1227,-51%,$ 1.729.900
1228,-50%,$ 1.569.900
1229,-50%,$ 1.569.900
1230,-50%,$ 1.569.900
1231,-59%,$ 1.229.788
1232,-66%,$ 897.999
1233,-54%,$ 1.229.900
1234,-20%,$ 1.969.499
1235,-50%,$ 1.567.100
1236,-50%,$ 1.567.100
1237,-52%,$ 1.725.898
1238,-52%,$ 1.725.900
1239,-50%,$ 1.567.100
1240,-20%,$ 2.259.900
1241,-62%,$ 1.327.989
1242,-20%,$ 2.459.900
1243,-27%,$ 379.900
1244,-36%,$ 1.898.990
1245,-60%,$ 1.899.900
1246,-59%,$ 2.199.900
1247,-28%,$ 1.990.900
1248,-20%,$ 2.549.900
1249,-20%,$ 2.999.900
1250,-58%,$ 1.499.890
1251,-46%,$ 1.339.900
1252,-66%,$ 899.750
1253,-20%,$ 3.390.900
1254,-50%,$ 1.567.100
1255,-20%,$ 2.259.900
1256,-41%,$ 1.398.898
1257,-20%,$ 2.459.900
1258,-50%,$ 1.049.900
1259,-52%,$ 1.725.900
1260,-38%,$ 1.968.000
1261,-50%,$ 1.567.100
1262,-52%,$ 1.725.900
1263,-62%,$ 1.725.888
1264,-52%,$ 1.725.898
1265,-57%,$ 1.228.290
1266,-63%,$ 879.900
1267,-56%,$ 1.228.285
1268,-56%,$ 1.228.290
1269,-58%,$ 828.590
1270,-56%,$ 1.049.900
1271,-66%,$ 999.900
1272,-64%,$ 1.158.886
1273,-59%,$ 1.228.285
1274,-39%,$ 1.394.945
1275,-50%,$ 1.567.100
1276,-50%,$ 1.567.100
1277,-70%,$ 299.900
1278,-70%,$ 879.900
1279,-55%,$ 849.000
1280,-57%,$ 799.900
1281,-56%,$ 349.990
1282,-30%,$ 2.099.000
1283,-16%,$ 3.099.900
1284,-20%,$ 5.299.900
1285,-37%,$ 2.492.900
1286,-24%,$ 2.809.900
1287,-66%,$ 898.888
1288,-52%,$ 1.215.990
1289,-56%,$ 1.569.900
1290,-51%,$ 1.729.900
1291,-19%,$ 1.969.899
1292,-51%,$ 1.729.900
1293,-51%,$ 1.729.900
1294,-42%,$ 1.148.000
1295,-38%,$ 1.969.489
1296,-50%,$ 1.569.900
1297,-50%,$ 1.569.900
1298,-63%,$ 1.089.685
1299,-20%,$ 2.896.849
1300,-20%,$ 2.857.900
1301,-20%,$ 2.599.900
1302,-20%,$ 2.596.849
1303,-38%,$ 489.900
1304,-38%,$ 489.900
1305,-64%,$ 799.800
1306,-13%,$ 344.900
1307,-22%,$ 355.000
1308,-54%,$ 949.900
1309,-60%,$ 829.900
1310,-38%,$ 619.990
1311,-61%,$ 499.690
1312,-60%,$ 399.900
1313,-55%,$ 1.688.721
1314,-29%,$ 1.899.900
1315,-59%,$ 1.089.685
1316,-53%,$ 1.398.814
1317,-66%,$ 897.288
1318,-59%,$ 1.089.685
1319,-54%,$ 1.397.520
1320,-66%,$ 898.888
1321,-60%,$ 299.900
1322,-60%,$ 299.900
1323,-70%,$ 299.900
1324,-60%,$ 399.900
1325,-55%,$ 399.900
1326,-60%,$ 399.900
1327,-56%,$ 1.749.999
1328,-41%,$ 989.000
1329,-53%,$ 2.314.990
1330,-55%,$ 1.699.000
