,Brand,Product Name,Normal Price,Discount,Discount Price,Seller,Waranty status,Waranty Period (Months),Accessories Included
237,APPLE,iPhone 11 64Gb Verde Reacondicionado + 14 Meses Garantia,$ 2.550.000,-52%,$ 1.215.990, micelu,available,14,no
242,APPLE,IPHONE 11 128 GB REACONDICIONADO COLOR NEGRO,$ 2.299.000,-39%,$ 1.380.769, idroid colombia,not available,0,no
243,ZTE, Zte A31 Lite 32 Azul Reacondicionado,$ 349.900,-65%,$ 119.900, quiero mac,not available,0,no
244,APPLE,IPHONE 14 PRO MAX 256 GB REACONDICIONADO COLOR MORADO,$ 4.999.000,-21%,$ 3.948.889, idroid colombia,not available,0,no
254,APPLE,Iphone 14 Pro 256Gb Negro Espacial Reacondicionado,$ 4.599.900,-25%,$ 3.426.990, micelu,not available,0,no
259,SAMSUNG,Samsung Galaxy A30 64 Negro Reacondicionado,$ 629.900,-52%,$ 299.900, quiero mac,not available,0,no
261,APPLE, Reacondicionado Iphone Xs Max 64Gb Dorado Apple,$ 2.699.900,-61%,$ 1.048.044, ecocell,not available,0,no
262,APPLE,iPhone Se 2020 128Gb Blanco Reacondicionado,$ 1.999.900,-65%,$ 699.900, quiero mac,not available,0,no
263,APPLE,Iphone 12 128Gb Morado Reacondicionado,$ 3.000.000,-46%,$ 1.599.800, micelu,not available,0,no
265,APPLE, Reacondicionado Iphone 11 Pro Max 256 Gb Gris Espacial Space Gray,$ 3.100.000,-36%,$ 1.969.488, idroid colombia,not available,0,no
268,APPLE,Iphone Xr 64Gb Black Reacondicionado,$ 2.399.900,-62%,$ 897.028, ecocell,not available,0,no
270,APPLE,Iphone 12 128Gb Azul Reacondicionado,$ 3.000.000,-46%,$ 1.599.800, micelu,not available,0,no
282,APPLE, Iphone 13 Pro Max 512Gb Sierra Blue (Reacondicionado),$ 4.199.900,-19%,$ 3.389.899, ventas hatior colombia,not available,0,no
293,APPLE,Iphone 13 128Gb Blanco Estelar Reacondicionado,$ 3.999.000,-48%,$ 2.049.900, idroid colombia,not available,0,no
294,APPLE, Apple Iphone 12 Pro Max 128Gb Azul Reacondicionado,$ 3.500.000,-34%,$ 2.299.851, idroid colombia,not available,0,no
298,ZTE, Zte A31 Lite 32 Gris Reacondicionado,$ 349.900,-65%,$ 119.900, quiero mac,not available,0,no
304,APPLE,Iphone 14 Pro Max 256Gb Deep Purple Reacondicionado + Cargador 20W + Cable Usb C,$ 4.799.900,-19%,$ 3.849.990, tecnotienda col,not available,0,yes
305,APPLE, Iphone 11 Verde 128Gb Reacondicionado,$ 3.100.000,-55%,$ 1.388.999, idroid colombia,not available,0,no
317,ZTE, Zte Blade A3 Lite 32 Negro Reacondicionado,$ 329.900,-63%,$ 119.900, quiero mac,not available,0,no
318,APPLE, Reacondicionado Iphone Xr 128Gb Negro Apple,$ 2.699.900,-61%,$ 1.049.888, ecocell,not available,0,no
319,APPLE,Iphone 11 64 Gb Rojo Reacondicionado,$ 2.550.000,-52%,$ 1.215.990, micelu,not available,0,no
325,APPLE,Iphone 13 128Gb Medianoche Reacondicionado,$ 3.999.000,-48%,$ 2.049.900, idroid colombia,not available,0,no
326,APPLE,Iphone 13 Pro Max 256Gb Azul Sierra Reacondicionado,$ 4.899.900,-35%,$ 3.139.900, ecocell,not available,0,no
328,APPLE, Reacondicionado Iphone 11 128Gb Morado Apple,$ 3.499.900,-60%,$ 1.380.988, ecocell,not available,0,no
330,APPLE,IPHONE 14 PRO MAX 256 GB REACONDICIONADO COLOR PLATA,$ 4.999.000,-19%,$ 3.999.890, idroid colombia,not available,0,no
333,APPLE,Iphone Xr 64Gb Red Reacondicionado,$ 2.399.900,-63%,$ 879.900, quiero mac,not available,0,no
335,APPLE,iPhone SE 2020 64Gb Black Reacondicionado + 12 Meses Garantia,$ 1.249.900,-52%,$ 599.900, quiero mac,available,12,no
339,APPLE,Iphone 13 Pro Max 128Gb Verde Alpino Reacondicionado,$ 3.378.889,-14%,$ 2.899.899, ventas hatior colombia,not available,0,no
354,APPLE,Iphone Reacondicionado 12 Pro Max 256 Gbazul Pacifico,$ 3.500.000,-28%,$ 2.499.929, idroid colombia,not available,0,no
360,APPLE, Apple Iphone 13 Pro Max 128Gb Oro Reacondicionado,$ 3.399.900,-14%,$ 2.899.899, ventas hatior colombia,not available,0,no
361,APPLE,Iphone 14 128 Gb Reacondicionado Color Blanco Estelar,$ 3.199.900,-21%,$ 2.499.900, ventas hatior colombia,not available,0,no
362,APPLE,iPhone 11 64Gb Blanco Reacondicionado + 14 Meses Garantia,$ 2.550.000,-52%,$ 1.215.990, micelu,available,14,no
373,APPLE, Reacondicionado Iphone 8 64Gb Gris Espacial Apple + 14 Meses Garantia,$ 1.199.900,-58%,$ 499.690, quiero mac,available,14,no
381,APPLE,Iphone Se 2020 128Gb Rojo Reacondicionado,$ 1.349.900,-48%,$ 699.900, quiero mac,not available,0,no
383,APPLE,Iphone 13 Pro Max 256Gb Plata Reacondicionado,$ 4.499.000,-26%,$ 3.299.000, idroid colombia,not available,0,no
391,VIVO,Vivo Y11s 32 Azul Reacondicionado,$ 599.900,-61%,$ 229.900, quiero mac,not available,0,no
394,APPLE,IPHONE 12 PRO MAX 256 GB REACONDICIONADO COLOR ORO,$ 3.499.000,-28%,$ 2.499.977, idroid colombia,not available,0,no
395,APPLE, Reacondicionado Iphone 11 Pro Max 256Gb Dorado Apple,$ 2.461.900,-20%,$ 1.969.499, ventas hatior colombia,not available,0,no
397,APPLE, Reacondicionado iPhone 12 64Gb Verde,$ 3.099.900,-54%,$ 1.399.060, quiero mac,not available,0,no
399,HUAWEI,Huawei Y9 2019 64 Negro Reacondicionado,$ 699.900,-58%,$ 289.900, quiero mac,not available,0,no
402,ZTE, Zte A31 Lite 32 Negro Reacondicionado,$ 349.900,-65%,$ 119.900, quiero mac,not available,0,no
404,SAMSUNG,Samsung Galaxy S21 Plus 5G 256 Gb Negro Fantasma Reacondicionado,$ 2.899.900,-43%,$ 1.649.900, ecocell,not available,0,no
413,APPLE, Reacondicionado Iphone 11 Blanco 128Gb,$ 3.499.900,-61%,$ 1.358.997, ecocell,not available,0,no
419,APPLE,Iphone 12 Pro Max 256Gb Reacondicionado Negro,$ 3.572.900,-30%,$ 2.499.989, ventas hatior colombia,not available,0,no
420,APPLE,Iphone 11 128Gb Reacondicionado Lila,$ 2.899.990,-52%,$ 1.381.990, micelu,not available,0,no
421,APPLE,IPHONE 12 PRO MAX 128 GB REACONDICIONADO COLOR ORO,$ 3.500.000,-32%,$ 2.349.693, idroid colombia,not available,0,no
424,APPLE, Iphone 12 Negro 64Gb Reacondicionado,$ 3.299.900,-57%,$ 1.399.490, quiero mac,not available,0,no
430,APPLE, Reacondicionado Iphone Se 64Gb Rojo Apple + 14 Meses Garantia,$ 1.249.900,-50%,$ 620.020, quiero mac,available,14,no
431,APPLE,iPhone 13 Mini 128GB Negro Reacondicionado,$ 3.499.900,-48%,$ 1.799.900, quiero mac,not available,0,no
432,APPLE,Iphone X 64Gb Plata Apple Reacondicionado,$ 1.649.900,-49%,$ 828.590, quiero mac,not available,0,no
434,APPLE, Reacondicionado Iphone 11 128Gb Rojo,$ 2.599.900,-46%,$ 1.388.998, ecocell,not available,0,no
449,APPLE,Iphone 13 Pro 256Gb Azul Sierra Reacondicionado,$ 4.999.000,-43%,$ 2.799.872, idroid colombia,not available,0,no
450,APPLE, Reacondicionado Iphone Xr 128Gb Blanco Apple,$ 2.999.900,-65%,$ 1.049.888, ecocell,not available,0,no
451,APPLE,Iphone Se 2020 128Gb Negro Reacondicionado,$ 1.799.900,-61%,$ 699.900, quiero mac,not available,0,no
452,APPLE, Reacondicionado Iphone Se 64Gb Rojo Apple,$ 2.799.900,-77%,$ 620.020, quiero mac,not available,0,no
453,APPLE, Reacondicionado Iphone 8 256Gb Gris Espacial Apple,$ 1.499.900,-63%,$ 549.190, quiero mac,not available,0,no
457,APPLE,IPHONE 12 PRO 128 GB REACONDICIONADO COLOR ORO,$ 2.772.900,-30%,$ 1.938.742, ventas hatior colombia,not available,0,no
458,APPLE, Reacondicionado Iphone 11 Pro Max 256Gb Verde Medianoche Apple,$ 2.461.900,-20%,$ 1.969.499, ventas hatior colombia,not available,0,no
459,APPLE,Iphone 15 Pro Max 256Gb Reacondicionado Azul,$ 5.899.900,-12%,$ 5.159.800, ventas hatior colombia,not available,0,no
460,APPLE,Iphone 12 128Gb Blanco Reacondicionado,$ 3.159.900,-49%,$ 1.599.800, micelu,not available,0,no
461,APPLE,IPHONE 11 PRO MAX 256 GB REACONDICIONADO COLOR GRIS ESPACIAL,$ 2.461.900,-20%,$ 1.967.900, ventas hatior colombia,not available,0,no
462,APPLE,Iphone 14 Pro Max 256Gb Negro Espacial Reacondicionado,$ 5.500.000,-27%,$ 3.979.889, idroid colombia,not available,0,no
463,APPLE,Iphone 14 Pro 256Gb Plata Reacondicionado,$ 4.599.900,-25%,$ 3.426.990, micelu,not available,0,no
464,APPLE,Iphone 13 Pro 256Gb Oro Reacondicionado,$ 4.200.000,-33%,$ 2.799.864, idroid colombia,not available,0,no
465,APPLE, Reacondicionado Iphone 11 64Gb Morado,$ 2.550.000,-52%,$ 1.215.990, micelu,not available,0,no
466,APPLE,Iphone 11 Pro Max 64Gb Color Dorado Reacondicionado,$ 3.000.000,-42%,$ 1.725.499, idroid colombia,not available,0,no
467,APPLE, Reacondicionado Iphone 11 Pro 64Gb Gris Espacial Apple,$ 3.159.900,-50%,$ 1.567.100, micelu,not available,0,no
469,APPLE,Iphone 14 Pro 128Gb Morado Oscuro Reacondicionado,$ 4.599.900,-28%,$ 3.293.990, micelu,not available,0,no
470,APPLE,Iphone 12 Pro 256 Gb Azul Pacifico Reacondicionado,$ 6.599.900,-68%,$ 2.099.988, ecocell,not available,0,no
471,SAMSUNG, Samsung Galaxy S21 Fe 5G 256Gb Grafito Reacondicionado,$ 2.099.900,-45%,$ 1.149.900, ecocell,not available,0,no
473,APPLE,Iphone Reacondicionado 12 Pro 128 Gb Azul Pacifico,$ 3.000.000,-35%,$ 1.939.252, idroid colombia,not available,0,no
474,APPLE,iPhone 13 Pro Max 128GB Azul Sierra Reacondicionado,$ 4.999.000,-41%,$ 2.899.861, idroid colombia,not available,0,no
475,APPLE, Apple Iphone 12 Pro Max 256Gb Negro Reacondicionado,$ 3.490.000,-28%,$ 2.499.911, idroid colombia,not available,0,no
477,APPLE, Reacondicionado Iphone 12 Pro Max 128 Gb Graphite Grafito,$ 3.500.000,-36%,$ 2.209.887, idroid colombia,not available,0,no
478,APPLE, Reacondicionado Iphone 7 32Gb Negro Mate Apple,$ 999.900,-60%,$ 399.900, quiero mac,not available,0,no
483,MOTOROLA,Motorola Moto One Fusion 128 Verde Reacondicionado,$ 729.900,-52%,$ 349.900, quiero mac,not available,0,no
484,APPLE,Iphone Se 2020 128Gb White Reacondicionado + 14 Meses Garantia,$ 1.349.900,-48%,$ 699.900, quiero mac,available,14,no
485,APPLE, Iphone 13 Pro Max Gris 512Gb Reacondicionado,$ 4.199.900,-18%,$ 3.429.900, ventas hatior colombia,not available,0,no
486,HYUNDAI,Hyundai L553 16 Azul Reacondicionado,$ 359.900,-55%,$ 159.900, quiero mac,not available,0,no
491,APPLE,iPhone 12 Pro Azul Pacifico 128GB Reacondicionado + Airpods Pro 2 AAA,$ 2.999.900,-30%,$ 2.099.899, ventas hatior colombia,not available,0,yes
493,SAMSUNG,Samsung Galaxy S21 Plus 5G 128 Gb Negro Fantasma Reacondicionado,$ 2.399.900,-41%,$ 1.399.900, ecocell,not available,0,no
495,SAMSUNG,Samsung Galaxy A21s 128 Azul Reacondicionado,$ 999.900,-60%,$ 399.900, quiero mac,not available,0,no
506,APPLE,Iphone 14 Pro 256Gb Morado Oscuro Reacondicionado,$ 4.599.900,-25%,$ 3.426.990, micelu,not available,0,no
507,IPHONE, Iphone 12 64 GB Negro Reacondicionado,$ 2.859.900,-47%,$ 1.499.900, micelu,not available,0,no
508,APPLE,Iphone 11 64Gb White Reacondicionado,$ 2.199.900,-48%,$ 1.130.070, quiero mac,not available,0,no
509,APPLE, Reacondicionado Iphone 11 64Gb Negro Apple,$ 2.550.000,-52%,$ 1.215.990, micelu,not available,0,no
510,XIAOMI,Xiaomi 11 Lite 5G Ne 128 Azul Reacondicionado,$ 1.199.900,-58%,$ 499.900, quiero mac,not available,0,no
511,APPLE,Iphone 14 128Gb Reacondicionado Lila,$ 2.999.900,-16%,$ 2.499.900, ventas hatior colombia,not available,0,no
512,APPLE,Iphone 13 Pro Max 128Gb Grafito Reacondicionado,$ 4.999.000,-41%,$ 2.899.767, idroid colombia,not available,0,no
513,APPLE,Iphone 13 Pro Max 128Gb Oro Reacondicionado,$ 4.999.000,-41%,$ 2.899.874, idroid colombia,not available,0,no
514,APPLE,IPHONE 14 PRO 256 GB REACONDICIONADO COLOR PLATA,$ 4.599.900,-25%,$ 3.426.990, micelu,not available,0,no
516,APPLE,iPhone 13 Pro 256gb Dorado Reacondicionado + REGALO Audifonos & Cargador,$ 3.499.900,-14%,$ 2.999.819, ventas hatior colombia,not available,0,yes
517,APPLE,iPhone 12 128GB Blanco Reacondicionado,$ 3.000.000,-46%,$ 1.599.800, micelu,not available,0,no
518,APPLE,iPhone 12 128GB Verde Reacondicionado,$ 3.000.000,-46%,$ 1.599.800, micelu,not available,0,no
519,APPLE,iPhone 12 128GB Rojo Reacondicionado,$ 3.000.000,-46%,$ 1.599.800, micelu,not available,0,no
520,APPLE,Iphone 12 Pro 256 Gb Plata Reacondicionado,$ 3.499.000,-38%,$ 2.159.542, idroid colombia,not available,0,no
525,APPLE,IPHONE 12 PRO MAX 256 GB REACONDICIONADO COLOR PLATA,$ 3.500.000,-28%,$ 2.499.975, idroid colombia,not available,0,no
526,APPLE, Reacondicionado Iphone 11 64Gb Verde Apple,$ 2.550.000,-52%,$ 1.215.990, micelu,not available,0,no
528,APPLE, Iphone 11 Rojo 128 Gb Reacondicionado,$ 3.499.900,-60%,$ 1.398.941, ecocell,not available,0,no
537,APPLE,Iphone 12 Pro 128 Gb Dorado Reacondicionado,$ 3.100.000,-37%,$ 1.939.649, idroid colombia,not available,0,no
538,APPLE,Iphone Reacondicionado 12 Pro Max 256 Gbdorado,$ 3.500.000,-27%,$ 2.541.989, idroid colombia,not available,0,no
539,APPLE,Iphone 12 Pro 128 Gb Grafito Reacondicionado,$ 3.100.000,-37%,$ 1.939.397, idroid colombia,not available,0,no
540,APPLE,Iphone 12 Azul 64Gb Reacondicionado,$ 2.500.000,-40%,$ 1.497.580, idroid colombia,not available,0,no
542,APPLE,IPHONE 12 64 GB REACONDICIONADO COLOR AZUL,$ 2.199.900,-31%,$ 1.499.775, idroid colombia,not available,0,no
544,APPLE, Iphone 12 Mini 128 Gb Azul Reacondicionado,$ 3.099.875,-40%,$ 1.859.900, maeko,not available,0,no
551,MOTOROLA,Motorola Moto G32 128 Dorado Reacondicionado,$ 999.900,-55%,$ 449.900, quiero mac,not available,0,no
552,APPLE,iPhone 14 Pro Max 128Gb Morado Reacondicionado Audífonos + Cargador,$ 6.129.900,-30%,$ 4.290.786, ventas hatior colombia,not available,0,yes
553,SAMSUNG, Samsung Galaxy S21 Fe 5G 256Gb Verde Reacondicionado,$ 2.099.900,-45%,$ 1.149.900, ecocell,not available,0,no
554,APPLE, Iphone 13 Pro 1Tb Grafito Reacondicionado,$ 6.999.900,-49%,$ 3.549.900, ecocell,not available,0,no
555,APPLE, Reacondicionado Iphone 11 Pro 512Gb Plateado Silver,$ 3.499.900,-48%,$ 1.799.990, re.celu,not available,0,no
556,APPLE, Iphone 11 Reacondicionado Negro 128 Gb,$ 3.299.900,-57%,$ 1.398.745, ecocell,not available,0,no
557,APPLE, Reacondicionado Iphone 11 Amarillo 128 Gb,$ 1.599.900,-12%,$ 1.399.900, ecocell,not available,0,no
